case_index,review_label,notes,suggested_labels,label,prediction,negative_type,negative_subtype,candidate_action_type,distance_px,distance_bucket,candidate_in_ui_element,same_element_as_gt,instruction,candidate_action_text,gt_action_text,candidate_element_text,candidate_element_type,gt_element_text,gt_element_type,image,sample_id,pair_id,candidate_action_json,gt_action_json
1,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,click,,unknown,,,go to google search bar and search & open ebay.com in chrome,"click(point=[0.172625203927358, 0.2009040117263794])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000002_image_encoded.png,3481882310895889519.154-400.go to google search bar and search & open ebay.com in chrome:2:shifted_coordinate:rejected,3481882310895889519.154-400.go to google search bar and search & open ebay.com in chrome:2:shifted_coordinate,"{""type"": ""click"", ""point"": [0.172625203927358, 0.2009040117263794], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
2,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,random_coordinate,unknown,click,,unknown,,,go to google search bar and search & open ebay.com in chrome,"click(point=[0.7524069186735894, 0.9733010963318774])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000004_image_encoded.png,3481882310895889519.154-400.go to google search bar and search & open ebay.com in chrome:4:random_coordinate:rejected,3481882310895889519.154-400.go to google search bar and search & open ebay.com in chrome:4:random_coordinate,"{""type"": ""click"", ""point"": [0.7524069186735894, 0.9733010963318774], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {}}",{}
3,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,click,,unknown,,,go to google search bar and search & open ebay.com in chrome,"click(point=[0.9924626151720682, 0.987236920155977])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000004_image_encoded.png,3481882310895889519.154-400.go to google search bar and search & open ebay.com in chrome:4:shifted_coordinate:rejected,3481882310895889519.154-400.go to google search bar and search & open ebay.com in chrome:4:shifted_coordinate,"{""type"": ""click"", ""point"": [0.9924626151720682, 0.987236920155977], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
4,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,click,,unknown,,,"Open first result and go to cart section, then Add to cart","click(point=[0.3960048158963521, 0.519787609577179])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000012_image_encoded.png,"3481882310895889519.620-698.Open first result and go to cart section, then Add to cart:0:shifted_coordinate:rejected","3481882310895889519.620-698.Open first result and go to cart section, then Add to cart:0:shifted_coordinate","{""type"": ""click"", ""point"": [0.3960048158963521, 0.519787609577179], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
5,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,swipe,,unknown,,,"Open first result and go to cart section, then Add to cart","swipe(start_point=[0.6376007795333862, 0.7209556102752686], end_point=[0.6816872954368591, 0.30752885341644287])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000013_image_encoded.png,"3481882310895889519.620-698.Open first result and go to cart section, then Add to cart:1:shifted_coordinate:rejected","3481882310895889519.620-698.Open first result and go to cart section, then Add to cart:1:shifted_coordinate","{""type"": ""swipe"", ""point"": [0.8042674462000529, 0.7999029786963212], ""start_point"": [0.6376007795333862, 0.7209556102752686], ""end_point"": [0.6816872954368591, 0.30752885341644287], ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
6,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,swipe,,unknown,,,"Open first result and go to cart section, then Add to cart","swipe(start_point=[0.537597119808197, 0.7878588438034058], end_point=[0.5385564565658569, 0.6121524572372437])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000014_image_encoded.png,"3481882310895889519.620-698.Open first result and go to cart section, then Add to cart:2:shifted_coordinate:rejected","3481882310895889519.620-698.Open first result and go to cart section, then Add to cart:2:shifted_coordinate","{""type"": ""swipe"", ""point"": [0.7042637864748637, 0.8668062122244584], ""start_point"": [0.537597119808197, 0.7878588438034058], ""end_point"": [0.5385564565658569, 0.6121524572372437], ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
7,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,wrong_action_type,unknown,click,,unknown,,,"Open first result and go to cart section, then Add to cart","click(point=[0.537597119808197, 0.7878588438034058])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000014_image_encoded.png,"3481882310895889519.620-698.Open first result and go to cart section, then Add to cart:2:wrong_action_type:rejected","3481882310895889519.620-698.Open first result and go to cart section, then Add to cart:2:wrong_action_type","{""type"": ""click"", ""point"": [0.537597119808197, 0.7878588438034058], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {}}",{}
8,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,swipe,,unknown,,,"Open first result and go to cart section, then Add to cart","swipe(start_point=[0.8086979389190674, 0.8135057687759399], end_point=[0.46441033482551575, 0.15009689331054688])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000385_image_encoded.png,"7997321630813814042.797-998.Open first result and go to cart section, then Add to cart:1:shifted_coordinate:rejected","7997321630813814042.797-998.Open first result and go to cart section, then Add to cart:1:shifted_coordinate","{""type"": ""swipe"", ""point"": [1.0309201611412897, 0.9187689266706768], ""start_point"": [0.8086979389190674, 0.8135057687759399], ""end_point"": [0.46441033482551575, 0.15009689331054688], ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
9,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,same_screen_element,same_screen_element,click,,unknown,,,"Open first result and go to cart section, then Add to cart","click(point=[0.4055555462837219, 0.8026315569877625])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000386_image_encoded.png,"7997321630813814042.797-998.Open first result and go to cart section, then Add to cart:2:same_screen_element:rejected","7997321630813814042.797-998.Open first result and go to cart section, then Add to cart:2:same_screen_element","{""type"": ""click"", ""point"": [0.4055555462837219, 0.8026315569877625], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""negative_source"": ""same_screen_element"", ""ui_element_index"": 24, ""ui_element_text"": """", ""ui_element_type"": ""ICON_HEART""}}",{}
10,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,click,,unknown,,,"Open first result and go to cart section, then Add to cart","click(point=[0.558864994181527, 0.7375964522361755])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000386_image_encoded.png,"7997321630813814042.797-998.Open first result and go to cart section, then Add to cart:2:shifted_coordinate:rejected","7997321630813814042.797-998.Open first result and go to cart section, then Add to cart:2:shifted_coordinate","{""type"": ""click"", ""point"": [0.558864994181527, 0.7375964522361755], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
